status_id,text,lang,name,time,media_url,hashtag,favorite_count,retweets_count,source
1369721839325487114,RT @FCBarcelona: 🙋‍♂️ #Culers! Your starting XI for #PSGBarça! https://t.co/CQEr7brnVo,en,SharadenduDwiv1,befor game,http://pbs.twimg.com/media/EwI13C7XMAAxGpQ.jpg,#Culers#PSGBarça,0,533,Twitter Web App
1369721837098307588,RT @FCBarcelona: 🙋‍♂️ #Culers! Your starting XI for #PSGBarça! https://t.co/CQEr7brnVo,en,el_waji755,befor game,http://pbs.twimg.com/media/EwI13C7XMAAxGpQ.jpg,#Culers#PSGBarça,0,534,Twitter for iPhone
1369721836049756164,RT @FCBarcelona: 🙋‍♂️ #Culers! Your starting XI for #PSGBarça! https://t.co/CQEr7brnVo,en,OTolorunleke,befor game,http://pbs.twimg.com/media/EwI13C7XMAAxGpQ.jpg,#Culers#PSGBarça,0,535,Twitter for Android
1369721832262279174,C’est foutu les amis #PSGbarca https://t.co/QB4x5oAhGp,fr,18fut_ziad,befor game,http://pbs.twimg.com/media/EwI6vjXWgAgB9g9.jpg,#PSGbarca,0,0,Twitter for iPhone
1369721831649869825,"PSG XI: Keylor Navas, Florenzi, Marquinhos, Kimpembe, Kurzawa, Gueye, Paredes, Draxler, Verratti, Mbappe, Icardi.… https://t.co/c2rzX7DuSc",sl,JayBee0707,befor game,None,,0,0,Twitter for iPhone
1369721830114799616,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,DavidHe00895433,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,66,Twitter for Android
1369721826256039941,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,Stainlesssworld,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,69,Twitter for Android
1369721825748520965,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,damarguero_99,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,71,Twitter for Android
1369721824804675584,"RT @FCBW_A7: التشكيلة الرسمية 

شتيغن - مينغويزا دي يونغ لينغليت - ديست بوسكيتس بيدري البا - ميسي غريزمان ديمبلي

#PSGBarça #UCL 🔴🔵",ar,asw144,befor game,None,#PSGBarça#UCL,0,126,Twitter for iPhone
1369721822636367879,RT @FCBarcelona: Here for #PSGBarça 💪🟦🟥 https://t.co/Oy7iUcDIos,en,diegoca45880675,befor game,http://pbs.twimg.com/media/EwI6nalXMAIYq4r.jpg,#PSGBarça,0,73,Twitter for Android
